delay,centraleId,afstandTotLoskade
31767,Vlissingen,67196
27558,Prosperpolder,45807
44258,Hansweert,1931
37133,Prosperpolder,9083
9060,Kruisschans,36452
4938,Kallo,27633
38878,Saeftinge,70321
39822,Cadzand,20959
40745,Liefkenshoek,68755
12112,Kruisschans,28967
4188,Liefkenshoek,39296
23608,Ballastplaat,23355
29057,Terneuzen,20691
35740,Hansweert,72359
15113,Westkapelle,73199
27212,Cadzand,7458
49118,Baarland,7912
47989,Hansweert,26509
14215,Terneuzen,24606
31566,Oudendijk,37832
32221,Terneuzen,19101
15750,Liefkenshoek,11925
49465,Blauwgaren,44945
36916,Ballastplaat,59776
34249,Hansweert,21650
19549,Kruisschans,56901
22233,Kallo,15632
45345,Hansweert,13421
3992,Kruisschans,65651
5687,Waarde,78100
37734,Cadzand,8742
23955,Terneuzen,63193
44162,Saeftinge,4383
38386,Kruisschans,22236
19821,Hansweert,40363
15156,Hoofdplaat,21124
38661,Kaapduinen,31935
28065,Terneuzen,70055
45563,Cadzand,14783
12117,Baarland,11258
44372,Cadzand,16507
31919,Terneuzen,54136
31278,Hansweert,1916
23873,Baarland,35081
47615,Kruisschans,51464
46283,Prosperpolder,11558
22347,Baarland,69741
39427,Vlissingen,32586
37058,Blauwgaren,5886
48199,Vlissingen,71829
49315,Ballastplaat,7118
16191,Kallo,56814
46707,Ballastplaat,60345
29296,Westkapelle,25507
24796,Blauwgaren,65704
21478,Prosperpolder,78569
41359,Kallo,55227
6135,Blauwgaren,42592
4171,Blauwgaren,48027
27676,Saeftinge,45050
27265,Ballastplaat,75737
2559,Hansweert,49515
29774,Kallo,6469
47833,Terneuzen,73315
12695,Ballastplaat,56988
28182,Saeftinge,54775
33271,Westkapelle,64937
28663,Cadzand,53399
30045,Hoofdplaat,63906
17742,Saeftinge,5532
22132,Baarland,78678
10878,Baarland,37819
23769,Waarde,22156
10949,Vlissingen,40609
6419,Prosperpolder,41157
15151,Westkapelle,44418
9523,Kaapduinen,67659
14129,Saeftinge,63139
6904,Kaapduinen,2343
24771,Hoofdplaat,62559
35833,Kallo,228
49845,Vlissingen,37836
20469,Hansweert,398
25270,Liefkenshoek,48359
28964,Cadzand,43665
3507,Kallo,52727
46190,Westkapelle,76251
42274,Oudendijk,32441
29032,Hansweert,69024
23566,Hansweert,59222
12815,Hansweert,64469
47039,Hansweert,73772
4904,Liefkenshoek,55931
2653,Terneuzen,28749
20116,Westkapelle,57653
33116,Hoofdplaat,64459
10247,Oudendijk,22379
28077,Liefkenshoek,2894
39213,Waarde,61431
18544,Hoofdplaat,4751
